861113607,MEYER ELEMENTARY PTO INC,% MELINDA JERRIGAN,1930 J MEYER RD,RICHMOND,TX,77469-9452,0000,03,3,1200,200411,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,B112,
861113630,EPIPHANY OF LIFE,% ELIZABETH ROBINSON,1325 DAJA LN APT 805,GRAND PRAIRIE,TX,75050-7650,0000,03,3,1000,201308,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,M19,
861113693,SOUTH PUTNAM CHURCH,% KAREN MILLER,114 AMOS RD,CRESCENT CITY,FL,32112-3904,2024,03,9,7200,196908,1,10,000000000,5,01,,0,0,06,0,09,,,,,
861113867,THE DWIGHT D AND SHERYL H HOWARD FOUNDATION INC,% HENRY WILLIAMS,6230 VICKERS RD,FAIRBURN,GA,30213-1191,0000,03,3,1200,200602,1,15,000000000,1,01,201312,2,2,02,0,12,21409,13557,13557,P30,
861113896,LOGOS BIBLE CHURCH,% HOU J YEN,12750 CENTER COURT DR S STE 240,CERRITOS,CA,90703-8570,0000,03,3,7000,200501,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
861114006,MHS VOLLEYBALL BOOSTER CLUB,% MELISSA A GUTH,PO BOX 1756,LITCHFIELD PK,AZ,85340-1756,0000,03,3,1000,201404,1,16,000000000,1,01,,0,0,02,0,12,,,,N60,
861114027,BICYCLE LONGMONT,% LAUREN GREENFIELD,225 PRICE RD STE 38,LONGMONT,CO,80501-5800,0000,03,3,2000,200910,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,,
861114242,CENTRO CRISTIANO SOL DE JUSTICIA,% BARBARA PATRICIA OLAGUE,254 HOLLAND CIR,HOLLISTER,CA,95023-4088,9445,03,9,7000,199107,1,10,029000000,5,01,,0,0,06,0,12,,,,,CHURCH CHARTER
861114243,SET FREE OZARKS MINISTRIES,% REX ALLEN SELF,PO BOX 329,CABOOL,MO,65689-0329,9445,03,9,7000,199107,1,10,029000000,5,01,,0,0,06,0,06,,,,,MISSION CHARTER
861114390,DESTINY LIFE,% STEVENSON M KIANG,419 SEGOVIA AVE,SAN GABRIEL,CA,91775-2948,0000,03,3,1000,200412,1,15,000000000,1,01,201406,1,3,02,0,06,6297,27087,27087,X90,
861114394,SOROPTIMIST INTERNATIONAL OF THE AMERICAS INC,% SHARON ALKINSON,PO BOX 672,DAYTON,NV,89403-0672,3899,03,9,5000,200607,0,16,000000000,0,01,201406,0,0,02,0,06,0,0,0,,116209 THE COMSTOCK NV
861114418,GRACE COMMUNION INTERNATIONAL,,PO BOX 846,BREWTON,AL,36427-0846,4128,03,9,7000,195906,1,10,001000000,1,01,,0,0,06,0,06,,,,,
861114590,REHOBOTH COMMUNITY DEVELOPMENT CORPORATION,% GWEN RELF,2315 N 35TH AVE,PHOENIX,AZ,85009-1417,0000,03,3,1000,200612,1,15,000000000,1,01,201312,4,5,01,0,12,357692,558115,454032,O990,
861114630,RONIS PROMISE INC,% RONNIE ROBINSON,PO BOX 60593,FORT WORTH,TX,76115-6593,0000,03,3,1200,201208,1,15,000000000,1,01,201312,1,3,02,0,12,24,44779,44779,K30,
861114641,CASA OF THE TRI-PEAKS,% PAT STENGLE,366 N BROADWAY AVE STE 22,BOONEVILLE,AR,72927-3649,0000,03,3,1200,200507,1,15,000000000,1,01,201406,3,4,01,0,06,37987,141859,135351,I72,
861114911,ALASKA ASSOCIATION OF MEDICAL STAFF PROFESSIONALS,% LISA M CAMPALA,1519 COLUMBINE ST,ANCHORAGE,AK,99508-3049,0000,06,3,1000,201007,2,00,000000000,5,01,201412,0,0,02,0,12,0,0,0,S03,
861114913,CRIME STOPPERS OF SOUTHERN OREGON,% TIM GEORGE,PO BOX 513,MEDFORD,OR,97501-0035,0000,03,3,1000,201311,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,P20,
861114950,PAIJAN CHARITY INC,% JESSICA H GUARNIZ,8795 NW 180TH TER,HIALEAH,FL,33018-6502,0000,03,3,1000,200907,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,Q33,
861114971,GLADE PARK COMMUNITY SERVICES INC,% DANNI LANGDON,PO BOX 23162,GLADE PARK,CO,81523-0162,0000,03,3,1000,200803,1,16,000000000,1,01,201412,0,0,02,0,12,0,0,0,N31,
861115040,GLORY OF GOD TABERNACLE,% DARLENE DAVIS,2705 ROSALEE ST,LA MARQUE,TX,77568-3733,0000,03,3,7000,200412,1,10,000000000,1,01,201412,0,0,06,0,12,0,0,0,X21,
861115400,NORTH COAST SALMON & STEELHEAD ENHANCEMENT FUND INC,% JACK SMITH,PO BOX 333,TILLAMOOK,OR,97141-0333,0000,03,3,1000,200602,1,15,000000000,1,01,201412,4,4,01,0,12,221566,166823,142074,D123,
861115403,WINGS OF FAITH CHRISTIAN WORSHIP CENTER INC,% ROBERT SHANNON,4348 SCHUMACHER RD,SEBRING,FL,33872-2601,0000,03,3,7100,200805,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
861115452,SPOTLIGHT YOUTH THEATRE,% TIM MORRIS,10620 N 43RD AVE STE 12,GLENDALE,AZ,85304-4150,0000,03,3,1000,200708,1,15,000000000,1,01,201406,2,4,01,0,06,23812,239496,215595,A65,
861115627,KING COUNTY COLLABORATIVE LAW,% JOHN TWITCHELL,600 UNIVERSITY STREET,SEATTLE,WA,98101-1176,0000,06,3,2000,200906,2,00,000000000,1,01,201412,3,2,02,0,12,44727,19741,19741,S41,
861115630,BETA PHI EDUCATIONAL FOUNDATION CORPORATION,% STEVEN SCHUYLER,145 E UNIVERSITY BLVD,TUCSON,AZ,85705-7738,0000,03,3,2000,200604,1,16,000000000,1,01,201312,5,5,01,0,12,739797,549987,509811,B82,
861115725,PASCO COUNTY SHERIFF PATROL AT LEXINGTON OAKS INC,% SAM FULCINITI,26304 LEXINGTON OAKS BLVD,WESLEY CHAPEL,FL,33544-1554,0000,04,3,1000,201402,2,00,000000000,1,01,201412,1,1,02,0,12,3596,2928,2928,I20,
861115833,EVERETT FIGURE SKATING CLUB,% SUE DWYER,PO BOX 12997,EVERETT,WA,98206-2997,0000,03,3,1200,200706,1,16,000000000,1,01,201406,0,0,02,0,06,0,0,0,N68,
861115863,CROSSINGS COMMUNITY CLINIC INC,% BRYAN E COON,10255 N PENNSYLVANIA AVE,OKLAHOMA CITY,OK,73120-4117,0000,03,3,1000,200608,1,12,000000000,1,01,201312,8,6,01,0,12,10773418,2663965,2663965,E32,
861115985,SLAVEBLOCK MINISTRIES INC,% HEATHER TOMLINSON,PO BOX 27,HOMERVILLE,GA,31634-0027,0000,03,3,7120,200610,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,X20,
861116289,SURRENDERED FAMILY MINISTRIES INC,% KIMBERLY BECKER,2100 BROADWAY AVE,GREAT BEND,KS,67530-4024,0000,03,3,7000,200412,1,15,000000000,1,01,201406,0,0,02,0,06,0,0,0,X99,
861116298,MIRAMAR HIGH SCHOOL BAND BOOSTERS INC,% CARMEN WILLIAMS,20501 NW 7TH CT,MIAMI,FL,33169-2554,0000,03,3,1200,201503,1,15,000000000,1,01,,0,0,02,0,12,,,,B11,
861116344,PALESTINIAN AMERICAN SOCIETY,,8780 19TH ST,ALTA LOMA,CA,91701-4608,0000,03,3,1000,200702,1,15,000000000,1,01,201312,1,1,02,0,12,8612,4830,4830,A20,
861116464,TENNESSEE ASSOCIATION OF DRUG COURT PROFESSIONALS,% C BRAD PRICE,201 LOCUST ST STE 13,MCMINNVILLE,TN,37110-2109,0000,03,3,1000,201004,1,15,000000000,1,01,201406,0,0,02,0,06,0,0,0,F032,
861116531,IGLESIA FAMILIAR DE FE DIOS CON NOSOTROS,% REV JULIO O RODRIGUEZ,8901 SATINWOOD ST,FONTANA,CA,92335-4565,1621,03,9,7000,196402,1,10,001000000,5,01,,0,0,06,0,12,,,,,
861116783,INTERNATIONAL ASSOCIATION OF FIRE FIGHTERS,% TODD STOCKFORD,10648 CHADSWORTH LN,HGHLNDS RANCH,CO,80126-7508,0160,05,9,3000,195903,2,00,263000000,5,01,201312,0,0,02,0,12,0,0,0,,4386 SW ADAMS COUNTY PROF FIRE FIGH
861116870,SAPPHIRE HOME,% ANNETTE TESSIER,PO BOX 185,OLALLA,WA,98359-0185,0000,03,3,1000,200504,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,P75,
861116947,PALESTINE MISSIONARY BAPTIST CHURCH,% GREGORY OKEITH WYATT,608 E CONVENT ST,VICTORIA,TX,77901-8236,0000,03,3,7000,200512,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
861117032,HUNTER CRUMPTON CHILDRENS FOUNDATION,% RANDY C CRUMPTON,3153 BUD WILLIAMS RD,JUSTIN,TX,76247-2211,0000,03,3,1000,200502,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,G12,
861117102,AUBURN POLICE AND FIRE BENEFIT FUND,% CHRIS MURRAY,PO BOX 2513,AUBURN,AL,36831-2513,0000,03,3,1000,200610,1,16,000000000,1,01,201412,0,0,02,0,12,0,0,0,W12,
861117131,GOSOSLO INC,% FRANK OWEN,872 TORO ST,SN LUIS OBISP,CA,93401-2833,0000,07,3,1000,200506,2,00,000000000,1,01,201409,0,0,02,0,09,0,0,0,S41,
861117253,NEIGHBOR TO NEIGHBOR INC,% ELAINE L BURT,PO BOX 18043,MISSOULA,MT,59808-8043,0000,03,3,1000,200502,1,15,000000000,1,01,201412,3,3,02,0,12,48770,48770,48770,T30,
861117258,WEST SLOPE FM,% LYNN ABBOTT,140 PARK AVE,STEAMBOAT SPR,CO,80487-5010,0000,03,3,2000,200502,1,15,000000000,1,01,201312,1,1,02,0,12,9486,410,410,A68,
861117539,ARRIBA A SKI CLUB INC,% KELLY SUEOKA,PO BOX 69611,W HOLLYWOOD,CA,90069-0611,0000,07,3,1000,200503,2,00,000000000,1,01,201504,3,4,01,0,04,43601,185472,185472,N68,
861117765,PINNACLE PENTICOSTAL HOLINESS CHURCH,% SCHAFFER WASHINGTON,2383 JACKSON AVE,MEMPHIS,TN,38108-3239,0000,03,3,7000,200505,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
861118036,ASSOC OF LATINO PROFESSIONALS IN FINANCE & ACCOUNTING FDN INC,% MANUAL ESPINOZA,801 S GRAND AVE STE 400,LOS ANGELES,CA,90017-4646,0000,03,3,1000,200509,1,15,000000000,1,01,201309,4,4,01,0,09,227730,138756,138756,B82,
861118042,FANNIE LOU HAMER CANCER FOUNDATION,% FREDDIE WHITE-JOHNSON,PO BOX 755,RULEVILLE,MS,38771-0755,0000,03,3,1200,200503,1,15,000000000,1,01,201412,4,4,01,0,12,272351,144835,144835,B60,
861118171,SOUTH PUGET SOUND MOBILE SEARCH AND RESCUE,% CHARLENE MARTIN,PO BOX 4074,TUMWATER,WA,98501-0074,0000,03,3,1000,200712,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,M23,
861118699,BARBARA TRENCHARD FOUNDATION INC,% ROBERT TRENCHARD JR,414 EXECUTIVE CENTER BLVD STE 100,EL PASO,TX,79902-1015,0000,03,3,1000,200503,1,04,000000000,1,01,201312,3,3,00,1,12,49451,45388,,T22,
861118804,SALESMANSHIP CLUB CHARITABLE GOLF OF DALLAS INC,% TERI ISAACS,106 E 10TH ST,DALLAS,TX,75203-2236,0000,03,3,1000,200508,1,15,000000000,1,01,201310,6,8,01,0,10,1330838,21418017,5601969,P114,TERI ISAACS
861118821,PASADENA EDUCATION NETWORK,% J DAVID HITCHCOCK,3579 E FOOTHILL BLVD 481,PASADENA,CA,91107-3119,0000,03,3,1000,200601,1,15,000000000,1,01,201407,4,4,01,0,07,110093,182646,172729,B90,
861118846,CIMARRON VALLEY HUMANE SOCIETY,% TERRI GROVE,PO BOX 1163,CUSHING,OK,74023-1163,0000,03,3,1000,200510,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,D01,
861118914,IGLESIA DEL DIOS VIVO COLUMMA Y APOYO DE LA VERDAD,% ISRAEL GALAZ,1221 GARNER AVE,SALINAS,CA,93905-1829,0000,03,3,7000,201007,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,LA LUZ DEL MUNDO
861118959,LITEHOUSE CHILDREN & FAMILY SERVICES,% LIZ QAQIESH,1887 BUSINESS CENTER DR,SAN BERNARDINO,CA,92408-3463,0000,03,3,1000,200511,1,16,000000000,1,01,201412,4,6,01,0,12,294106,1963926,1963926,P32,
861118980,SANCTUARY OF HOPE CHURCH OF GOD,% ORA MCCLELLAN,PO BOX 4147,OCALA,FL,34478-4147,2358,03,9,7000,197210,1,10,001000000,5,01,,0,0,06,0,12,,,,,
861119213,SMITHSON VALLEY AG BOOSTER CLUB,% JIMMIE TADLOCK,14001 HWY 46 W,SPRING BRANCH,TX,78070-7053,0000,03,3,1000,201405,1,15,000000000,1,01,201405,0,0,02,0,05,0,0,0,K12,
861119282,NATIONAL SOCIETY OF THE DAUGHTERS OF THE AMERICAN REVOLUTION,% SUZANNE DANIEL,86 SHAMANS WAY,DAHLONEGA,GA,30533-5473,1050,03,9,1200,194907,1,16,000000000,5,01,201412,0,0,02,0,12,0,0,0,,TRAHLYTA DAR
861119361,GREEN BUILDING INITIATIVE INC,% WARD HUBBELL,5410 SW MACADAM AVE STE 150,PORTLAND,OR,97239-3807,0000,03,3,1200,200603,1,15,000000000,1,01,201312,5,6,01,0,12,525392,1677532,1677532,C35,
861119367,VICTORY BAPTIST COMMUNITY OF FAITH,,812 S OLIVER ST,WICHITA,KS,67218-2329,2054,03,9,7000,197001,1,10,001000000,5,01,,0,0,06,0,12,,,,,
861119649,BEEVILLE SPORTS HALL OF FAME,% MICHAEL SILVAS,410 N SAINT MARYS ST,BEEVILLE,TX,78102-4611,0000,03,3,1000,201003,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,B82,
861119869,ROUND UP GOLF CHARITY,% MICHAEL J BURKE,12510 CUTTEN RD,HOUSTON,TX,77066-1820,0000,03,3,1000,200506,1,16,000000000,1,01,201412,4,4,01,0,12,295029,134590,109528,T30,
861119987,CHRISTOPHER RICARDO CYSTIC FIBROSIS FOUNDATION INC,% ANTONIO DE VITA,3191 NE 211TH TER,AVENTURA,FL,33180-3687,0000,03,3,1000,200510,1,15,000000000,1,01,201412,4,4,01,0,12,111224,193644,193644,,
861120181,SMALL BUSINESS CALIFORNIA,% SCOTT HAUGE,2311 TARAVAL ST,SAN FRANCISCO,CA,94116-2253,0000,06,3,1000,200507,2,00,000000000,1,01,201407,3,3,01,0,07,51918,57746,57746,S41,
861120202,QUEEN CITY JUNIOR YACHT CLUB,,2608 BOYER AVE E,SEATTLE,WA,98102-3905,0000,03,3,2000,200601,1,16,000000000,1,01,201409,3,3,02,0,09,54417,28439,28166,N67,
861120319,PALO PINTO GENERAL HOSPITAL AUXILIARY,% CYNTHIA STEIN,400 SW 25TH AVE,MINERAL WELLS,TX,76067-8246,0000,03,3,1000,200507,1,15,000000000,1,01,201409,4,4,01,0,09,103191,158660,51209,B82,
861120697,KERN COUNTY SHERIFFS ACTIVITIES LEAGUE INC,% KERN COUNTY SAL,1350 NORRIS RD,BAKERSFIELD,CA,93308-2231,0000,03,3,1000,200507,1,16,000000000,1,01,201312,4,4,01,0,12,128848,173339,127057,O20,
861120719,NATIONAL COLLEGE RESOURCES FOUNDATION,% THERESA PRICE,750 N DIAMOND BAR BLVD,DIAMOND BAR,CA,91765-1023,0000,03,3,1000,200501,1,15,000000000,1,01,201312,4,5,01,0,12,106963,831394,831394,B90,
861120836,PTA TEXAS CONGRESS,% DSHS PTSA,PO BOX 1620,DRIPPING SPGS,TX,78620-1620,1889,03,9,2000,196709,1,16,059035000,1,01,201406,0,0,02,0,06,0,0,0,,2879 DRIPPING SPRINGS HIGH SCHOOL
861120863,MCGONIGLE FAMILY FOUNDATION,% J OLIVER MCGONIGLE,6414 MERCEDES AVE,DALLAS,TX,75214-3100,0000,03,3,1000,200501,1,04,000000000,1,01,201412,6,0,00,1,12,1186971,0,,T22,
861120875,GENESIS LUTHERAN CHURCH,,1818 FLOWER AVE,DUARTE,CA,91010-2931,1709,03,9,7000,194107,1,10,001029000,5,01,201012,0,0,06,0,12,,,,,
861120925,OAKRIDGE BOOSTER CLUB,% ERIC ORNBERG,PO BOX 1270,OAKRIDGE,OR,97463-1270,0000,03,3,2000,200508,1,16,000000000,1,01,201408,0,0,02,0,08,0,0,0,B11,
861120994,DISTRICT 21 EDUCATION ASSOCIATION,% KELLY SMUTZ,1625 E 13TH ST,THE DALLES,OR,97058-3220,0000,05,3,1000,200803,2,00,000000000,1,01,201408,0,0,02,0,08,0,0,0,J40,
861121137,DEPARTMENT OF ALABAMA DISTRICT 7 VETERANS OF FOREIGN WARS,,1426 TAYLOR RD,DOTHAN,AL,36301-8940,0000,19,3,1000,201502,1,00,000000000,5,01,201312,0,0,02,0,12,0,0,0,W30,
861121911,AGUINALDO FOUNDATION,% ZENY RAVELO,9132 TOGAN AVE,SAN DIEGO,CA,92129-2522,0000,03,3,2000,200707,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,A23,
861122241,THE ROTARY CLUB OF ANNA MARIA ISLAND FOUNDATION INC,% KELLY JONES,PO BOX 1344,HOLMES BEACH,FL,34218-1344,0000,03,3,1000,200602,1,16,000000000,1,01,201406,0,0,02,0,06,0,0,0,T30,
861122245,FRIENDS OF THE@CEDARVILLE LIBRARY,% MICHELE BELK,PO BOX 95,CEDARVILLE,AR,72932-0095,0000,03,3,1000,200503,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,B117,
861122279,SAM MOOL MISSION CENTER,% REV NAM SOOK JEONG,32704 VIA PALACIO,RCH PALOS VRD,CA,90275-5897,0000,03,3,1000,200611,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,P20,
861122287,RHO ETA LAMBDA CHAPTER EDUCATION FOUNDATION ALPHA PHI ALPHA FRATERN,% JEFFERY T BURGIN,PO BOX 1906,MADISON,AL,35758-5412,0000,03,3,2000,200502,1,15,000000000,1,01,201312,0,0,02,0,12,0,0,0,B82,
861122353,LOUISIANA 4-H FOUNDATION,% GLEN STRONG,195A COMMUNITY DR,OAK GROVE,LA,71263-7734,5610,03,9,1000,200912,1,15,000000000,1,01,201406,0,0,02,0,06,0,0,0,,WEST CARROLL 4-H FOUNDATION
861122398,ADAMSVILLE BUSINESS AND COMMUNITY PARTNERSHIP,% BETTYE H REID,4129 RENFREW CT SW,ATLANTA,GA,30331-3920,0000,03,3,1200,201204,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,S20,
